STRUCTURE,STRUCTURE_ID,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,LAST UPDATE
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2023-S1,3.0177,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SE,2023-S2,2.5342,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2019-S1,0.1634,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2019-S2,0.1666,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2020-S1,0.1448,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2020-S2,0.1694,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2021-S1,0.1662,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2021-S2,0.1711,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2022-S1,0.1390,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2022-S2,0.1956,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2023-S1,0.1917,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SI,2023-S2,0.2113,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2019-S1,0.1577,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2019-S2,0.1585,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2020-S1,0.1686,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2020-S2,0.1724,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2021-S1,0.1668,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2021-S2,0.1624,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2022-S1,0.1796,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2022-S2,0.1884,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2023-S1,0.1892,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,SK,2023-S2,0.1943,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2019-S1,0.5387,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2019-S2,0.6635,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2020-S1,0.7123,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2020-S2,0.7341,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2021-S1,0.7942,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2021-S2,0.9031,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2022-S1,1.4091,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2022-S2,1.7279,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2023-S1,1.8175,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,TR,2023-S2,1.6826,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UA,2019-S1,1.3460,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UA,2019-S2,1.3382,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UA,2020-S1,1.3318,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UA,2020-S2,1.3055,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UA,2021-S1,1.6255,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UK,2019-S1,0.1854,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UK,2019-S2,0.1948,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,UK,2020-S1,0.1927,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,XK,2019-S1,0.0600,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,XK,2019-S2,0.0605,,25/04/24 09:10:00
dataflow,ESTAT:NRG_PC_204$DEFAULTVIEW(1.0),S,6000,KWH2500-4999,KWH,I_TAX,NAC,XK,2020-S1,0.0605,,25/04/24 09:10:00
